Width,Height
0,0.1199
0,0.3597
0,0.5995
0,0.8393
0,1.0791
0,1.3189
0,1.5587
0,1.7985
0,2.0383
0,2.2781
0,2.5179
0,2.7577
0,2.9975
0,3.2373
0,3.4771
0,3.7169
0,3.9567
0,4.1965
0,4.4363
0,4.6761
0,4.9159
0,5.1557
0,5.3955
0,5.6353
0,5.8751
0,6.1149
0,6.3547
0,6.5945
0,6.8343
0,7.0741
0,7.3139
0,7.5537
0,7.7935
0,8.0333
0,8.2731
0,8.5129
0,8.7527
0,8.9925
0,9.2323
0,9.4721
0,9.7119
0,9.9517
0,10.1915
0,10.4313
0,10.6711
0,10.9109
0,11.1507
0,11.3905
0,11.6303
0,11.8701
0,12.1099
0,12.3497
0,12.5895
0,12.8293
0,13.0691
0,13.3089
0,13.5487
0,13.7885
0,14.0283
0,14.2681
0,14.5079
0,14.7477
0,14.9875
0,15.2273
0,15.4671
0,15.7069
0,15.9467
0,16.1865
0,16.4263
0,16.6661
0,16.9059
0,17.1457
0,17.3855
0,17.6253
0,17.8651
0,18.1049
0,18.3447
0,18.5845
0,18.8243
0,19.0641
0,19.3039
0,19.5437
0,19.7835
0,20.0233
0,20.2631
0,20.5029
0,20.7427
0,20.9825
0,21.2223
0,21.4621
0,21.7019
0,21.9417
0,22.1815
0,22.4213
0,22.6611
0,22.9009
0,23.1407
0,23.3805
0,23.6203
0,23.8601
0,24.0999
0,24.3397
0,24.5795
0,24.8193
0,25.0591
0,25.2989
0,25.5387
0,25.7785
0,26.0183
0,26.2581
0,26.4979
0,26.7377
0,26.9775
0,27.2173
0,27.4571
0,27.6969
0,27.9367
0,28.1765
0,28.4163
0,28.6561
0,28.8959
0,29.1357
0,29.3755
0,29.6153
0,29.8551
0,30.0949
0,30.3347
0,30.5745
0,30.8143
0,31.0541
0,31.2939
0,31.5337
0,31.7735
0,32.0133
0,32.2531
0,32.4929
0,32.7327
0,32.9725
0,33.2123
0,33.4521
0,33.6919
0,33.9317
0,34.1715
0,34.4113
0,34.6511
0,34.8909
0,35.1307
0,35.3705
0,35.6103
0,35.8501
0,36.0899
0,36.3297
0,36.5695
0,36.8093
0,37.0491
1.77926,37.2889
3.08227,37.5287
3.96681,37.7685
4.65476,38.0083
5.22474,38.2481
5.7109,38.4879
6.12831,38.7277
6.48861,38.9675
6.80027,39.2073
7.07053,39.4471
7.30079,39.6869
7.49764,39.9267
7.66594,40.1665
7.81145,40.4063
7.9372,40.6461
8.04567,40.8859
8.13953,41.1257
8.22086,41.3655
8.29134,41.6053
8.35254,41.8451
8.40585,42.0849
8.45244,42.3247
8.49334,42.5645
8.52959,42.8043
8.56194,43.0441
8.59103,43.2839
8.61726,43.5237
8.64115,43.7635
8.66305,44.0033
8.68319,44.2431
8.70183,44.4829
8.7192,44.7227
8.73551,44.9625
8.75091,45.2023
8.76551,45.4421
8.77942,45.6819
8.79273,45.9217
8.80548,46.1615
8.81773,46.4013
8.8295,46.6411
8.84085,46.8809
8.85183,47.1207
8.86246,47.3605
8.87274,47.6003
8.88269,47.8401
8.89232,48.0799
8.90167,48.3197
8.91074,48.5595
8.91956,48.7993
8.92817,49.0391
8.93659,49.2789
8.94481,49.5187
8.95284,49.7585
8.96066,49.9983
8.96831,50.2381
8.97582,50.4779
8.98318,50.7177
8.99039,50.9575
8.99745,51.1973
9.00434,51.4371
9.01099,51.6769
9.01741,51.9167
9.02363,52.1565
9.02966,52.3963
9.03548,52.6361
9.04112,52.8759
9.0466,53.1157
9.05194,53.3555
9.05712,53.5953
9.06218,53.8351
9.06716,54.0749
9.07207,54.3147
9.07692,54.5545
9.08173,54.7943
9.08652,55.0341
9.0913,55.2739
9.09606,55.5137
9.10084,55.7535
9.10563,55.9933
9.11043,56.2331
9.11521,56.4729
9.12001,56.7127
9.12483,56.9525
9.12964,57.1923
9.13443,57.4321
9.13927,57.6719
9.14414,57.9117
9.14898,58.1515
9.15384,58.3913
9.15872,58.6311
9.1636,58.8709
9.16848,59.1107
9.17336,59.3505
9.17827,59.5903
9.18317,59.8301
9.18809,60.0699
9.19302,60.3097
9.19794,60.5495
9.20283,60.7893
9.20774,61.0291
9.21266,61.2689
9.21755,61.5087
9.22246,61.7485
9.22738,61.9883
9.2323,62.2281
9.23724,62.4679
9.2422,62.7077
9.24713,62.9475
9.25205,63.1873
9.257,63.4271
9.26189,63.6669
9.26674,63.9067
9.27159,64.1465
9.27641,64.3863
9.28117,64.6261
9.28589,64.8659
9.29052,65.1057
9.29507,65.3455
9.29953,65.5853
9.3039,65.8251
9.30817,66.0649
9.31236,66.3047
9.31647,66.5445
9.32047,66.7843
9.32441,67.0241
9.32828,67.2639
9.33208,67.5037
9.33583,67.7435
9.33956,67.9833
9.34326,68.2231
9.34696,68.4629
9.35064,68.7027
9.35435,68.9425
9.35806,69.1823
9.36175,69.4221
9.36547,69.6619
9.3692,69.9017
9.37292,70.1415
9.37668,70.3813
9.38041,70.6211
9.38418,70.8609
9.38798,71.1007
9.39182,71.3405
9.39568,71.5803
9.39957,71.8201
9.40346,72.0599
9.40735,72.2997
9.41124,72.5395
9.41514,72.7793
9.41907,73.0191
9.423,73.2589
9.42695,73.4987
9.43091,73.7385
9.43487,73.9783
9.43885,74.2181
9.44283,74.4579
9.44684,74.6977
9.45086,74.9375
9.45486,75.1773
9.45886,75.4171
9.46282,75.6569
9.46678,75.8967
9.47073,76.1365
9.47467,76.3763
9.47862,76.6161
9.4825,76.8559
9.48637,77.0957
9.49021,77.3355
9.49403,77.5753
9.49787,77.8151
9.50167,78.0549
9.50547,78.2947
9.50923,78.5345
9.51296,78.7743
9.51668,79.0141
9.52041,79.2539
9.5241,79.4937
9.52776,79.7335
9.53141,79.9733
9.53503,80.2131
9.53865,80.4529
9.54227,80.6927
9.54589,80.9325
9.54947,81.1723
9.55301,81.4121
9.55653,81.6519
9.56003,81.8917
9.56347,82.1315
9.56681,82.3713
9.57006,82.6111
9.57324,82.8509
9.57632,83.0907
9.57934,83.3305
9.58224,83.5703
9.58505,83.8101
9.58778,84.0499
9.59041,84.2897
9.59294,84.5295
9.5954,84.7693
9.59778,85.0091
9.60012,85.2489
9.60245,85.4887
9.60476,85.7285
9.60706,85.9683
9.60933,86.2081
9.61157,86.4479
9.61382,86.6877
9.6161,86.9275
9.6184,87.1673
9.62073,87.4071
9.62308,87.6469
9.62552,87.8867
9.62804,88.1265
9.63065,88.3663
9.63331,88.6061
9.63603,88.8459
9.63881,89.0857
9.64163,89.3255
9.64446,89.5653
9.64726,89.8051
9.65004,90.0449
9.65282,90.2847
9.65563,90.5245
9.65843,90.7643
9.66118,91.0041
9.66393,91.2439
9.66669,91.4837
9.66948,91.7235
9.67225,91.9633
9.67497,92.2031
9.6777,92.4429
9.68044,92.6827
9.68316,92.9225
9.68586,93.1623
9.68859,93.4021
9.69138,93.6419
9.69416,93.8817
9.69686,94.1215
9.69955,94.3613
9.70227,94.6011
9.70497,94.8409
9.70752,95.0807
9.70994,95.3205
9.71208,95.5603
9.7138,95.8001
9.71512,96.0399
9.71609,96.2797
9.71675,96.5195
9.71713,96.7593
9.71734,96.9991
9.71759,97.2389
9.718,97.4787
9.71898,97.7185
9.72044,97.9583
9.72244,98.1981
9.72367,98.4379
9.72429,98.6777
9.7247,98.9175
9.72497,99.1573
9.72499,99.3971
9.72484,99.6369
9.72473,99.8767
9.72476,100.1165
9.72497,100.3563
9.7253,100.5961
9.72549,100.8359
9.72542,101.0757
9.72548,101.3155
9.72593,101.5553
9.72651,101.7951
9.72737,102.0349
9.72849,102.2747
9.73002,102.5145
9.7319,102.7543
9.73426,102.9941
9.73681,103.2339
9.73964,103.4737
9.74262,103.7135
9.74544,103.9533
9.74811,104.1931
9.75041,104.4329
9.7524,104.6727
9.75427,104.9125
9.75609,105.1523
9.75774,105.3921
9.75924,105.6319
9.76058,105.8717
9.76179,106.1115
9.76295,106.3513
9.76406,106.5911
9.76519,106.8309
9.76641,107.0707
9.76769,107.3105
9.76901,107.5503
9.77029,107.7901
9.77135,108.0299
9.77222,108.2697
9.77292,108.5095
9.77354,108.7493
9.77427,108.9891
9.77508,109.2289
9.776,109.4687
9.77691,109.7085
9.77774,109.9483
9.77842,110.1881
9.77889,110.4279
9.77933,110.6677
9.77971,110.9075
9.78018,111.1473
9.78075,111.3871
9.78173,111.6269
9.78304,111.8667
9.78442,112.1065
9.78573,112.3463
9.78698,112.5861
9.78822,112.8259
9.78951,113.0657
9.79093,113.3055
9.79252,113.5453
9.79424,113.7851
9.79595,114.0249
9.79745,114.2647
9.79863,114.5045
9.79948,114.7443
9.80017,114.9841
9.80078,115.2239
9.80136,115.4637
9.80193,115.7035
9.80249,115.9433
9.80301,116.1831
9.80352,116.4229
9.80397,116.6627
9.80446,116.9025
9.80506,117.1423
9.80573,117.3821
9.80644,117.6219
9.80715,117.8617
9.8079,118.1015
9.80863,118.3413
9.80936,118.5811
9.81005,118.8209
9.81072,119.0607
9.81136,119.3005
9.81193,119.5403
9.81244,119.7801
9.8129,120.0199
9.81331,120.2597
9.81369,120.4995
9.81406,120.7393
9.81442,120.9791
9.81478,121.2189
9.81511,121.4587
9.81541,121.6985
9.81566,121.9383
9.81589,122.1781
9.81609,122.4179
9.81629,122.6577
9.81646,122.8975
9.81662,123.1373
9.81675,123.3771
9.81686,123.6169
9.81695,123.8567
9.81698,124.0965
9.81696,124.3363
9.81688,124.5761
9.81673,124.8159
9.81651,125.0557
9.81618,125.2955
9.81574,125.5353
9.81519,125.7751
9.81453,126.0149
9.81379,126.2547
9.813,126.4945
9.81215,126.7343
9.81123,126.9741
9.8102,127.2139
9.80908,127.4537
9.80796,127.6935
9.80702,127.9333
9.80637,128.1731
9.80586,128.4129
9.80532,128.6527
9.80466,128.8925
9.80388,129.1323
9.803,129.3721
9.80198,129.6119
9.80091,129.8517
9.79982,130.0915
9.79862,130.3313
9.7973,130.5711
9.7958,130.8109
9.79415,131.0507
9.7924,131.2905
9.79061,131.5303
9.78883,131.7701
9.78698,132.0099
9.78502,132.2497
9.783,132.4895
9.78096,132.7293
9.77889,132.9691
9.7768,133.2089
9.77466,133.4487
9.77263,133.6885
9.77082,133.9283
9.76912,134.1681
9.76747,134.4079
9.76578,134.6477
9.76396,134.8875
9.76163,135.1273
9.75889,135.3671
9.75575,135.6069
9.75257,135.8467
9.75032,136.0865
9.74988,136.3263
9.74893,136.5661
9.74809,136.8059
9.74785,137.0457
9.75332,137.2855
9.75609,137.5253
9.75784,137.7651
9.7595,138.0049
9.76135,138.2447
9.76337,138.4845
9.76542,138.7243
9.76724,138.9641
9.7687,139.2039
9.76988,139.4437
9.77095,139.6835
9.77235,139.9233
9.77427,140.1631
9.77639,140.4029
9.77809,140.6427
9.77884,140.8825
9.77869,141.1223
9.77802,141.3621
9.77702,141.6019
9.77596,141.8417
9.77527,142.0815
9.77535,142.3213
9.77637,142.5611
9.77829,142.8009
9.78087,143.0407
9.78386,143.2805
9.78681,143.5203
9.78975,143.7601
9.7927,143.9999
9.79566,144.2397
9.79862,144.4795
9.80164,144.7193
9.80474,144.9591
9.80792,145.1989
9.8111,145.4387
9.81425,145.6785
9.81733,145.9183
9.82029,146.1581
9.82306,146.3979
9.82556,146.6377
9.82775,146.8775
9.82968,147.1173
9.8314,147.3571
9.83293,147.5969
9.8343,147.8367
9.83554,148.0765
9.83665,148.3163
9.83768,148.5561
9.83865,148.7959
9.83962,149.0357
9.84058,149.2755
9.84155,149.5153
9.84252,149.7551
9.84349,149.9949
9.84447,150.2347
9.84545,150.4745
9.84644,150.7143
9.84743,150.9541
9.84842,151.1939
9.8494,151.4337
9.85036,151.6735
9.85131,151.9133
9.85233,152.1531
9.85343,152.3929
9.85461,152.6327
9.85585,152.8725
9.85714,153.1123
9.85847,153.3521
9.85987,153.5919
9.86136,153.8317
9.86293,154.0715
9.86459,154.3113
9.86634,154.5511
9.86821,154.7909
9.87021,155.0307
9.8723,155.2705
9.87446,155.5103
9.87665,155.7501
9.87885,155.9899
9.88104,156.2297
9.8832,156.4695
9.88526,156.7093
9.88723,156.9491
9.88915,157.1889
9.89104,157.4287
9.89292,157.6685
9.8948,157.9083
9.89673,158.1481
9.89872,158.3879
9.9008,158.6277
9.90294,158.8675
9.90512,159.1073
9.90734,159.3471
9.90973,159.5869
9.91325,159.8267
9.92456,160.0665
9.97657,160.3063
10.1227,160.5461
10.3914,160.7859
10.8214,161.0257
11.5216,161.2655
25.8683,161.5053
25.8683,161.7451
25.8683,161.9849
25.8683,162.2247
25.8683,162.4645
25.8683,162.7043
25.8683,162.9441
25.8683,163.1839
25.8683,163.4237
25.8683,163.6635
25.8683,163.9033
25.8683,164.1431
25.8683,164.3829
25.8683,164.6227
25.8683,164.8625
25.8683,165.1023
25.8683,165.3421
25.8683,165.5819
25.8683,165.8217
25.8683,166.0615
25.8683,166.3013
25.8683,166.5411
25.8683,166.7809
25.8683,167.0207
25.8683,167.2605
25.8683,167.5003
25.8683,167.7401
25.8683,167.9799
25.8683,168.2197
25.8683,168.4595
25.8683,168.6993
25.8683,168.9391
25.8683,169.1789
25.8683,169.4187
25.8683,169.6585
25.8683,169.8983
25.8683,170.1381
25.8683,170.3779
25.8683,170.6177
25.8683,170.8575
25.8683,171.0973
25.8683,171.3371
25.8683,171.5769
25.8683,171.8167
25.8683,172.0565
25.8683,172.2963
25.8683,172.5361
25.8683,172.7759
25.8683,173.0157
25.8683,173.2555
25.8683,173.4953
25.8683,173.7351
25.8683,173.9749
25.8683,174.2147
25.8683,174.4545
25.8683,174.6943
25.8683,174.9341
25.8683,175.1739
25.8683,175.4137
25.8683,175.6535
25.8683,175.8933
25.8683,176.1331
25.8683,176.3729
25.8683,176.6127
25.8683,176.8525
25.8683,177.0923
25.8683,177.3321
25.8683,177.5719
25.8683,177.8117
25.8683,178.0515
25.8683,178.2913
25.8683,178.5311
25.8683,178.7709
25.8683,179.0107
25.8683,179.2505
25.8683,179.4903
25.8683,179.7301
25.8683,179.9699
25.8683,180.2097
25.8683,180.4495
25.8683,180.6893
25.8683,180.9291
25.8683,181.1689
25.8683,181.4087
25.8683,181.6485
25.8683,181.8883
25.8683,182.1281
25.8683,182.3679
25.8683,182.6077
25.8683,182.8475
25.8683,183.0873
25.8683,183.3271
25.8683,183.5669
25.8683,183.8067
25.8683,184.0465
25.8683,184.2863
25.8683,184.5261
25.8683,184.7659
25.8683,185.0057
25.8683,185.2455
25.8683,185.4853
25.8683,185.7251
25.8683,185.9649
25.8683,186.2047
25.8683,186.4445
25.8683,186.6843
25.8683,186.9241
25.8683,187.1639
25.8683,187.4037
25.8683,187.6435
25.8683,187.8833
25.8683,188.1231
25.8683,188.3629
25.8683,188.6027
25.8683,188.8425
25.8683,189.0823
25.8683,189.3221
25.8683,189.5619
25.8683,189.8017
25.8683,190.0415
25.8683,190.2813
25.8683,190.5211
25.8683,190.7609
25.8683,191.0007
25.8683,191.2405
25.8683,191.4803
25.8683,191.7201
25.8683,191.9599
25.8683,192.1997
25.8683,192.4395
25.8683,192.6793
25.8683,192.9191
25.8683,193.1589
25.8683,193.3987
25.8683,193.6385
25.8683,193.8783
25.8683,194.1181
25.8683,194.3579
25.8683,194.5977
25.8683,194.8375
25.8683,195.0773
25.8683,195.3171
25.8683,195.5569
25.8683,195.7967
25.8683,196.0365
25.8683,196.2763
25.8683,196.5161
25.8683,196.7559
25.8683,196.9957
25.8683,197.2355
25.8683,197.4753
25.8683,197.7151
25.8683,197.9549
25.8683,198.1947
25.8683,198.4345
25.8683,198.6743
25.8683,198.9141
25.8683,199.1539
25.8683,199.3937
25.8683,199.6335
25.8683,199.8733
25.8683,200.1131
25.8683,200.3529
25.8683,200.5927
25.8683,200.8325
25.8683,201.0723
25.8683,201.3121
25.8683,201.5519
25.8683,201.7917
25.8683,202.0315
25.8683,202.2713
25.8683,202.5111
25.8683,202.7509
25.8683,202.9907
25.8683,203.2305
25.8683,203.4703
25.8683,203.7101
25.8683,203.9499
25.8683,204.1897
25.8683,204.4295
25.8683,204.6693
25.8683,204.9091
25.8683,205.1489
25.8683,205.3887
25.8683,205.6285
25.8683,205.8683
25.8683,206.1081
25.8683,206.3479
25.8683,206.5877
25.8683,206.8275
25.8683,207.0673
25.8683,207.3071
25.8683,207.5469
25.8683,207.7867
25.8683,208.0265
25.8683,208.2663
25.8683,208.5061
25.8683,208.7459
25.8683,208.9857
25.8683,209.2255
25.8683,209.4653
25.8683,209.7051
25.8683,209.9449
25.8683,210.1847
25.8683,210.4245
25.8683,210.6643
25.8683,210.9041
25.8683,211.1439
25.8683,211.3837
25.8683,211.6235
25.8683,211.8633
25.8683,212.1031
25.8683,212.3429
25.8683,212.5827
25.8683,212.8225
